SDSS_NAME,R.A. [deg],Dec. [deg],redshift,log M_*/M_sun,r [mag],i [mag],r_tidal [mag],i_tidal [mag],log f_tidal
J104958.15+003242.4,162.49234,0.54515,0.096,11.02(0.12),16.568(0.005),16.120(0.004),22.59(0.10),22.84(0.12),-2.53(0.22) 
J105004.16-001320.7,162.51735,-0.22244,0.076,11.04(0.20),16.624(0.005),16.160(0.004),22.31(0.08),22.03(0.08),-2.31(0.21) 
J105011.20+001301.9,162.54671,0.21723,0.126,11.56(0.11),16.181(0.004),15.697(0.003),22.62(0.10),22.93(0.12),-2.71(0.22) 
J105022.92+032056.7,162.59553,3.34910,0.068,11.22(0.18),15.687(0.003),15.243(0.003),19.34(0.02),18.90(0.02),-1.48(0.17) 
J105032.45+043919.4,162.63522,4.65539,0.148,11.20(0.14),17.247(0.007),16.830(0.006),21.37(0.06),21.33(0.06),-1.72(0.19) 
J105042.18+035328.3,162.67578,3.89121,0.110,11.15(0.11),17.004(0.006),16.538(0.005),22.24(0.08),23.38(0.15),-2.31(0.21) 
J105056.02+042354.4,162.73344,4.39847,0.127,11.27(0.13),16.711(0.006),16.287(0.005),22.17(0.08),22.13(0.08),-2.26(0.21) 
J105106.67+043211.6,162.77782,4.53656,0.126,11.02(0.12),17.403(0.008),16.955(0.006),22.31(0.10),23.22(0.15),-2.16(0.21) 
J105113.53-000649.0,162.80641,-0.11361,0.148,11.81(0.11),16.134(0.004),15.683(0.003),20.74(0.04),20.57(0.04),-1.90(0.20) 
J105121.90+014818.4,162.84129,1.80512,0.135,11.02(0.13),17.445(0.008),16.985(0.055),23.12(0.14),22.77(3.01),-2.29(0.21) 
J105132.48+020858.0,162.88538,2.14947,0.149,11.39(0.16),17.273(0.007),16.837(0.006),21.16(0.05),20.64(0.04),-1.55(0.18) 
J105134.37+021619.2,162.89323,2.27202,0.116,11.03(0.16),16.873(0.006),16.482(0.005),23.66(0.19),22.32(0.09),-2.49(0.22) 
J105145.53+002052.9,162.93973,0.34805,0.127,11.20(0.14),16.839(0.006),16.418(0.005),22.46(0.09),21.99(0.07),-2.24(0.21) 
J105145.71+043629.8,162.94046,4.60828,0.108,11.65(0.11),15.470(0.003),15.044(0.003),19.88(0.03),19.58(0.02),-1.80(0.20) 
J105148.58+043845.6,162.95246,4.64601,0.110,11.09(0.12),16.736(0.006),16.295(0.005),20.74(0.05),20.50(0.04),-1.65(0.19) 
J105153.33+045820.5,162.97225,4.97236,0.119,11.08(0.15),16.824(0.006),16.435(0.005),22.61(0.13),22.68(0.11),-2.40(0.21) 
J105209.97+005333.4,163.04156,0.89260,0.105,11.55(0.10),15.746(0.004),15.292(0.003),20.62(0.04),20.19(0.03),-1.96(0.20) 
J105212.49-003654.1,163.05207,-0.61505,0.129,11.09(0.12),17.318(0.007),16.847(0.006),22.27(0.09),21.98(0.07),-2.02(0.21) 
J105216.69+041840.9,163.06957,4.31138,0.150,11.22(0.11),17.300(0.007),16.886(0.006),23.34(0.14),24.15(0.21),-2.60(0.22) 
J105220.39+043501.4,163.08497,4.58374,0.150,11.04(0.14),17.448(0.008),17.026(0.006),22.68(0.12),22.42(0.09),-2.13(0.21) 
J105225.56+031200.6,163.10650,3.20019,0.150,11.13(0.14),17.723(0.009),17.312(0.007),23.00(0.12),23.12(0.14),-2.21(0.21) 
J105226.50+042512.7,163.11044,4.42020,0.118,11.07(0.16),17.288(0.007),16.822(0.006),22.64(0.11),22.56(0.10),-2.21(0.21) 
J105243.19+034145.1,163.17999,3.69588,0.135,11.07(0.11),17.198(0.007),16.717(0.006),21.65(0.07),21.48(0.06),-1.84(0.20) 
J105305.77-001836.9,163.27405,-0.31024,0.126,11.14(0.12),16.951(0.006),16.508(0.005),21.80(0.06),21.38(0.06),-1.95(0.20) 
J105308.14+032818.4,163.28392,3.47182,0.148,11.27(0.12),17.286(0.007),16.819(0.006),22.67(0.11),22.38(0.10),-2.19(0.21) 
J105325.58+021157.0,163.35658,2.19920,0.093,11.08(0.15),16.713(0.006),16.300(0.005),23.75(0.17),23.59(0.17),-2.86(0.22) 
J105347.98+003358.5,163.44995,0.56626,0.126,11.25(0.13),16.786(0.006),16.357(0.005),22.74(0.10),23.51(0.15),-2.56(0.22) 
J105352.45+033024.0,163.46854,3.50667,0.147,11.23(0.13),17.396(0.008),16.891(0.006),22.90(0.13),22.42(0.10),-2.21(0.21) 
J105405.43+033008.5,163.52265,3.50240,0.147,11.20(0.14),17.623(0.008),17.166(0.007),24.23(0.25),23.86(0.21),-2.66(0.22) 
J105431.31+035713.4,163.63048,3.95375,0.111,11.35(0.11),16.353(0.005),15.912(0.004),22.17(0.09),22.99(0.13),-2.51(0.22) 
J105443.07-005230.2,163.67950,-0.87506,0.075,11.09(0.12),16.049(0.004),15.649(0.003),20.27(0.03),20.08(0.03),-1.74(0.19) 
J105503.55-002323.4,163.76480,-0.38986,0.109,11.23(0.10),16.575(0.005),16.127(0.004),22.60(0.11),22.47(0.10),-2.47(0.22) 
J105522.29+002454.1,163.84289,0.41500,0.148,11.30(0.11),17.018(0.006),16.555(0.005),23.06(0.12),22.71(0.11),-2.44(0.21) 
J105535.04+032405.1,163.89603,3.40143,0.147,11.62(0.10),16.623(0.005),16.137(0.004),22.16(0.08),21.67(0.07),-2.22(0.21) 
J105552.74+001008.1,163.96979,0.16892,0.135,11.05(0.13),17.293(0.007),16.832(0.006),22.60(0.11),21.43(0.06),-1.96(0.20) 
J105556.22+033524.0,163.98427,3.59003,0.092,11.13(0.13),16.398(0.005),15.989(0.004),21.75(0.07),21.52(0.06),-2.18(0.21) 
J105558.04+023214.8,163.99185,2.53743,0.127,11.06(0.11),17.437(0.008),16.978(0.006),22.56(0.10),22.20(0.09),-2.07(0.21) 
J105618.49+001302.3,164.07707,0.21733,0.135,11.13(0.18),17.482(0.008),16.970(0.006),22.94(0.12),22.30(0.09),-2.16(0.21) 
J105639.23-000316.5,164.16350,-0.05460,0.083,11.40(0.12),16.838(0.006),16.391(0.005),20.28(0.03),20.05(0.03),-1.44(0.17) 
J105714.37+020018.7,164.30991,2.00522,0.100,11.08(0.20),16.809(0.006),16.396(0.005),20.42(0.03),20.14(0.03),-1.49(0.17) 
J105721.18+032905.8,164.33828,3.48495,0.146,11.24(0.12),17.556(0.008),17.045(0.006),24.68(0.27),24.46(0.26),-2.91(0.22) 
J105756.20+032848.3,164.48419,3.48013,0.130,11.26(0.14),16.450(0.005),16.106(0.004),20.51(0.03),20.43(0.03),-1.68(0.19) 
J105814.88+002349.6,164.56203,0.39714,0.147,11.19(0.13),17.321(0.007),16.866(0.006),22.62(0.10),22.44(0.09),-2.17(0.21) 
J105829.36+013242.6,164.62236,1.54518,0.088,11.25(0.10),16.195(0.004),15.727(0.004),22.20(0.09),21.83(0.07),-2.42(0.21) 
J105844.27+013422.7,164.68451,1.57297,0.142,11.12(0.12),17.343(0.007),16.916(0.006),24.09(0.20),24.53(0.27),-2.84(0.22) 
J105847.53+020030.5,164.69810,2.00852,0.113,11.11(0.12),16.907(0.006),16.486(0.005),22.28(0.09),22.61(0.11),-2.28(0.21) 
J105905.51+035331.2,164.77296,3.89201,0.149,11.40(0.12),16.872(0.006),16.404(0.005),21.80(0.07),21.41(0.06),-1.99(0.21) 
J105958.06+042910.0,164.99194,4.48610,0.150,11.11(0.13),17.601(0.008),17.124(0.007),22.96(0.13),22.77(0.11),-2.20(0.21) 
J110014.76+004750.9,165.06152,0.79748,0.120,11.16(0.13),16.939(0.006),16.433(0.005),22.85(0.11),23.25(0.14),-2.51(0.22) 
J110050.57+042901.3,165.21075,4.48372,0.130,11.41(0.10),16.571(0.005),16.073(0.004),21.75(0.08),21.86(0.07),-2.18(0.21) 
J110053.16+011936.7,165.22156,1.32687,0.132,11.13(0.11),17.219(0.007),16.781(0.006),22.42(0.09),21.96(0.07),-2.08(0.21) 
J110112.87-000210.2,165.30366,-0.03618,0.110,11.18(0.11),16.788(0.006),16.343(0.005),20.34(0.03),19.94(0.03),-1.45(0.17) 
J110115.96+012931.9,165.31658,1.49222,0.103,11.04(0.10),16.805(0.006),16.373(0.005),23.68(0.17),23.37(0.15),-2.77(0.22) 
J110120.55+031732.4,165.33567,3.29239,0.140,11.32(0.13),16.872(0.006),16.399(0.005),22.90(0.12),23.05(0.14),-2.52(0.22) 
J110138.56+041046.6,165.41068,4.17964,0.138,11.26(0.14),17.029(0.006),16.588(0.005),22.88(0.11),22.51(0.10),-2.36(0.21) 
J110144.04+034536.7,165.43351,3.76023,0.091,11.01(0.16),16.745(0.006),16.320(0.005),23.06(0.13),23.85(0.18),-2.71(0.22) 
J110146.77+032413.5,165.44491,3.40378,0.145,11.27(0.12),17.168(0.007),16.707(0.006),23.89(0.20),99.00(99.00),-3.00(0.22) 
J110150.19+014445.7,165.45917,1.74602,0.131,11.37(0.12),16.778(0.006),16.326(0.005),22.35(0.09),22.55(0.10),-2.34(0.21) 
J110233.06+005933.8,165.63777,0.99275,0.143,11.49(0.16),16.162(0.004),15.719(0.004),20.45(0.03),20.13(0.03),-1.75(0.19) 
J110252.23+044324.7,165.71764,4.72354,0.091,11.04(0.11),16.634(0.005),16.234(0.004),23.27(0.16),21.90(0.08),-2.42(0.21) 
J110253.04+013530.4,165.72101,1.59178,0.138,11.46(0.11),16.791(0.006),16.261(0.005),22.02(0.08),22.19(0.09),-2.21(0.21) 
J110306.02+035832.8,165.77509,3.97580,0.137,11.39(0.14),16.825(0.006),16.338(0.005),21.90(0.08),21.54(0.06),-2.06(0.21) 
J110310.61+043317.9,165.79423,4.55498,0.136,11.19(0.13),17.189(0.007),16.715(0.006),21.26(0.05),21.06(0.05),-1.69(0.19) 
J110318.10+043308.1,165.82541,4.55225,0.130,11.42(0.14),16.592(0.005),16.078(0.004),21.91(0.09),22.79(0.12),-2.33(0.21) 
J110319.67+010204.8,165.83199,1.03469,0.121,11.68(0.15),16.184(0.004),15.701(0.003),20.35(0.03),19.73(0.02),-1.65(0.19) 
J110323.55+012535.6,165.84814,1.42657,0.142,11.26(0.11),17.150(0.007),16.670(0.005),22.59(0.10),22.85(0.12),-2.30(0.21) 
J110324.68+010540.0,165.85285,1.09445,0.143,11.23(0.14),16.917(0.006),16.496(0.005),20.98(0.05),20.81(0.04),-1.68(0.19) 
J110350.52+041432.4,165.96052,4.24236,0.137,11.07(0.10),17.579(0.008),17.160(0.007),22.77(0.11),23.07(0.14),-2.20(0.21) 
J110400.25+011936.8,166.00108,1.32689,0.129,11.46(0.11),16.409(0.005),15.902(0.004),21.89(0.07),21.41(0.05),-2.20(0.21) 
J110402.08+042137.6,166.00872,4.36048,0.144,11.39(0.16),16.871(0.006),16.407(0.005),22.19(0.09),21.63(0.07),-2.11(0.21) 
J110403.96+011913.1,166.01653,1.32031,0.130,11.02(0.13),17.450(0.008),16.957(0.006),24.76(0.27),99.00(99.00),-3.24(0.22) 
J110417.88+012250.6,166.07452,1.38075,0.138,11.23(0.10),17.266(0.007),16.785(0.006),23.30(0.14),22.93(0.13),-2.44(0.21) 
J110427.17+032755.0,166.11325,3.46533,0.101,11.32(0.13),16.524(0.005),16.052(0.004),22.97(0.12),23.34(0.15),-2.72(0.22) 
J110427.59+044626.3,166.11496,4.77397,0.109,11.19(0.16),16.667(0.006),16.235(0.004),20.87(0.05),21.32(0.06),-1.83(0.20) 
J110441.56+010731.0,166.17318,1.12529,0.123,11.19(0.14),17.139(0.007),16.658(0.005),23.00(0.13),22.56(0.10),-2.35(0.21) 
J110444.32+021119.7,166.18468,2.18883,0.101,11.51(0.10),15.846(0.004),15.435(0.003),21.02(0.05),20.71(0.04),-2.09(0.21) 
J110449.14+041945.2,166.20477,4.32924,0.143,11.11(0.16),17.570(0.008),17.128(0.007),22.84(0.11),23.73(0.18),-2.30(0.21) 
J110524.13+040000.9,166.35059,4.00029,0.138,11.18(0.11),17.561(0.008),17.080(0.007),23.43(0.17),24.36(0.25),-2.55(0.22) 
J110531.11+042327.5,166.37967,4.39101,0.132,11.01(0.14),17.541(0.008),17.083(0.007),23.52(0.16),23.43(0.16),-2.46(0.22) 
J110536.05-002617.6,166.40023,-0.43824,0.113,11.26(0.11),16.599(0.005),16.123(0.004),23.01(0.12),22.84(0.11),-2.62(0.22) 
J110539.07+005758.8,166.41281,0.96639,0.129,11.59(0.16),16.579(0.005),16.092(0.004),21.84(0.07),21.26(0.05),-2.09(0.21) 
J110557.01-003041.1,166.48754,-0.51141,0.137,11.10(0.16),17.112(0.007),16.677(0.005),22.43(0.09),22.50(0.10),-2.22(0.21) 
J110601.91+023816.1,166.50796,2.63780,0.078,11.13(0.20),16.582(0.005),16.090(0.004),21.50(0.06),20.65(0.04),-1.90(0.20) 
J110604.52-005915.7,166.51887,-0.98769,0.091,11.29(0.12),16.285(0.005),15.822(0.004),22.09(0.08),22.87(0.12),-2.51(0.22) 
J110606.56+005003.6,166.52734,0.83435,0.120,11.09(0.12),16.994(0.006),16.519(0.005),22.10(0.08),21.73(0.07),-2.07(0.21) 
J110622.27+002238.0,166.59279,0.37725,0.067,11.31(0.12),15.409(0.003),14.991(0.002),24.09(0.19),23.36(0.14),-3.41(0.22) 
J110629.90+020313.6,166.62462,2.05382,0.107,11.28(0.12),16.626(0.005),16.204(0.004),21.25(0.06),20.98(0.05),-1.88(0.20) 
J110640.76+014613.5,166.66985,1.77042,0.101,11.06(0.11),16.889(0.006),16.521(0.005),22.51(0.09),21.96(0.07),-2.21(0.21) 
J110644.75+040821.3,166.68649,4.13926,0.142,11.34(0.11),16.886(0.006),16.469(0.005),21.61(0.06),22.00(0.08),-2.03(0.21) 
J110652.44+014034.4,166.71854,1.67623,0.134,11.02(0.17),17.136(0.007),16.679(0.005),21.19(0.05),20.96(0.04),-1.67(0.19) 
J110707.00+004801.4,166.77919,0.80041,0.122,11.08(0.13),17.203(0.007),16.747(0.006),22.66(0.11),23.27(0.15),-2.35(0.21) 
J110710.10+001602.7,166.79209,0.26744,0.112,11.26(0.15),16.922(0.006),16.436(0.005),21.79(0.06),21.49(0.06),-1.99(0.21) 
J110719.72+025820.4,166.83217,2.97234,0.075,11.44(0.14),15.069(0.003),14.591(0.002),19.80(0.03),19.46(0.02),-1.92(0.20) 
J110738.59+001947.2,166.91080,0.32982,0.120,11.00(0.14),17.302(0.007),16.842(0.006),22.66(0.11),22.61(0.10),-2.22(0.21) 
J110745.26+011806.6,166.93861,1.30187,0.129,11.16(0.10),17.286(0.007),16.823(0.006),24.41(0.25),24.75(0.28),-2.98(0.22) 
J110746.87+045419.7,166.94533,4.90551,0.143,11.07(0.15),17.412(0.008),16.905(0.006),22.27(0.11),21.89(0.08),-1.97(0.21) 
J110752.83+004922.8,166.97015,0.82302,0.141,11.25(0.17),16.848(0.006),16.443(0.005),21.66(0.07),21.46(0.06),-1.97(0.20) 
J110816.34+045257.7,167.06811,4.88270,0.140,11.28(0.10),17.234(0.007),16.754(0.006),22.51(0.12),23.56(0.17),-2.32(0.21) 
J110827.44+001454.9,167.11438,0.24861,0.127,11.21(0.20),16.918(0.006),16.496(0.005),22.67(0.11),22.23(0.09),-2.30(0.21) 
J110845.66+023602.2,167.19027,2.60062,0.135,11.21(0.10),17.156(0.007),16.703(0.006),22.52(0.10),22.73(0.11),-2.26(0.21) 
J110853.75+014649.7,167.22400,1.78050,0.144,11.15(0.11),17.371(0.008),16.933(0.006),99.00(99.00),24.25(0.24),-3.25(0.22) 
J110859.31+032133.4,167.24712,3.35928,0.136,11.27(0.12),16.855(0.006),16.411(0.005),23.07(0.13),22.85(0.12),-2.53(0.22) 
J110914.42-001424.1,167.31010,-0.24005,0.113,11.33(0.11),16.518(0.005),16.065(0.004),21.96(0.07),21.96(0.08),-2.26(0.21) 
J110914.53+042217.4,167.31056,4.37153,0.126,11.09(0.14),17.193(0.007),16.703(0.006),22.34(0.10),21.66(0.07),-2.02(0.21) 
J110915.52+025650.7,167.31469,2.94745,0.136,11.34(0.15),16.828(0.006),16.363(0.005),21.56(0.06),21.04(0.05),-1.89(0.20) 
J110925.50+022119.5,167.35631,2.35546,0.135,11.22(0.13),17.098(0.007),16.666(0.005),99.00(99.00),22.88(0.13),-2.80(0.22) 
J110928.08+002159.6,167.36702,0.36659,0.123,11.08(0.12),17.115(0.007),16.652(0.005),24.47(0.27),23.58(0.16),-2.85(0.22) 
J110947.16+021011.2,167.44650,2.16978,0.085,11.23(0.14),16.294(0.005),15.851(0.004),21.95(0.07),21.48(0.06),-2.26(0.21) 
J111002.34+021347.0,167.50978,2.22977,0.149,11.22(0.12),17.246(0.007),16.785(0.006),22.92(0.12),22.40(0.10),-2.26(0.21) 
J111004.53+014539.3,167.51891,1.76097,0.101,11.14(0.17),16.753(0.006),16.325(0.005),24.11(0.21),23.75(0.18),-2.96(0.22) 
J111016.65-005544.1,167.56937,-0.92893,0.111,11.02(0.12),17.036(0.006),16.608(0.005),23.26(0.15),24.46(0.26),-2.70(0.22) 
J111025.85+015111.1,167.60774,1.85312,0.110,11.26(0.13),16.317(0.005),15.915(0.004),19.58(0.02),19.34(0.02),-1.36(0.16) 
J111042.35+030033.8,167.67651,3.00941,0.108,11.15(0.16),16.746(0.006),16.290(0.005),21.81(0.07),21.45(0.06),-2.05(0.21) 
J111042.40+011048.0,167.67667,1.18003,0.096,11.10(0.13),16.399(0.005),15.963(0.004),23.45(0.15),22.19(0.08),-2.63(0.22) 
J111042.53+012734.1,167.67725,1.45950,0.129,11.01(0.11),17.437(0.008),17.004(0.006),23.10(0.13),22.47(0.10),-2.23(0.21) 
J111048.36+013647.3,167.70154,1.61317,0.103,11.31(0.13),16.243(0.004),15.890(0.004),21.81(0.06),99.00(99.00),-2.55(0.22) 
J111050.24+031718.0,167.70935,3.28833,0.136,11.41(0.11),16.584(0.005),16.100(0.004),20.74(0.04),20.20(0.03),-1.66(0.19) 
J111100.21+015842.7,167.75091,1.97854,0.105,11.58(0.14),15.992(0.004),15.526(0.003),22.09(0.08),21.32(0.06),-2.38(0.21) 
J111101.06+005552.5,167.75445,0.93128,0.141,11.26(0.15),17.118(0.007),16.687(0.005),20.72(0.04),20.16(0.03),-1.43(0.17) 
J111106.18+010048.3,167.77578,1.01344,0.093,11.02(0.10),16.884(0.006),16.482(0.005),23.04(0.13),22.07(0.08),-2.34(0.21) 
J111126.96+035244.9,167.86235,3.87914,0.142,11.61(0.09),16.226(0.004),15.797(0.004),19.97(0.03),19.80(0.02),-1.56(0.18) 
J111134.81+020026.4,167.89507,2.00738,0.133,11.52(0.11),16.301(0.005),15.889(0.004),20.28(0.03),20.00(0.03),-1.63(0.19) 
J111142.58+035454.2,167.92744,3.91506,0.142,11.38(0.11),16.755(0.006),16.309(0.005),22.67(0.10),22.38(0.09),-2.40(0.21) 
J111154.42+003844.5,167.97677,0.64574,0.097,11.28(0.10),16.029(0.004),15.599(0.003),22.69(0.11),22.04(0.07),-2.62(0.22) 
J111207.87+014030.9,168.03282,1.67524,0.142,11.30(0.11),16.892(0.006),16.463(0.005),21.53(0.06),21.26(0.05),-1.89(0.20) 
J111217.01+025322.3,168.07090,2.88957,0.138,11.39(0.10),17.001(0.006),16.552(0.005),20.84(0.04),20.78(0.04),-1.62(0.19) 
J111223.68-001610.1,168.09868,-0.26948,0.125,11.19(0.18),16.948(0.006),16.551(0.005),21.00(0.05),20.85(0.04),-1.68(0.19) 
J111234.45+011940.2,168.14353,1.32788,0.143,11.13(0.13),17.555(0.009),17.129(0.007),99.00(99.00),24.79(0.32),-3.40(0.22) 
J111313.03+011713.4,168.30433,1.28705,0.141,11.17(0.14),17.223(0.007),16.788(0.006),22.74(0.11),99.00(99.00),-2.52(0.22) 
J111323.88-002452.8,168.34954,-0.41465,0.098,11.14(0.11),16.376(0.005),15.983(0.004),20.96(0.05),20.86(0.04),-1.90(0.20) 
J111324.32+040631.7,168.35133,4.10883,0.143,11.32(0.13),16.916(0.006),16.467(0.005),22.81(0.11),22.96(0.13),-2.46(0.22) 
J111346.41+013511.9,168.44339,1.58670,0.104,11.20(0.11),16.657(0.005),16.225(0.004),20.81(0.04),20.50(0.04),-1.70(0.19) 
J111346.77+014159.6,168.44491,1.69996,0.109,11.09(0.10),16.902(0.006),16.470(0.005),21.45(0.06),21.17(0.05),-1.86(0.20) 
J111349.56+013142.0,168.45653,1.52834,0.127,11.24(0.10),17.061(0.007),16.652(0.005),22.99(0.13),23.22(0.14),-2.48(0.22) 
J111411.81+033905.1,168.54922,3.65145,0.142,11.47(0.09),16.786(0.006),16.320(0.005),22.82(0.11),23.02(0.14),-2.53(0.22) 
J111414.86-003209.0,168.56194,-0.53584,0.099,11.09(0.12),16.366(0.005),15.994(0.004),21.76(0.07),22.53(0.10),-2.33(0.21) 
J111420.88+001925.1,168.58704,0.32365,0.078,11.01(0.12),16.235(0.004),15.831(0.004),21.16(0.05),21.41(0.05),-2.09(0.21) 
J111432.71+014108.2,168.63629,1.68562,0.128,11.12(0.12),17.110(0.007),16.698(0.006),22.94(0.14),23.43(0.15),-2.48(0.22) 
J111434.88+011432.5,168.64532,1.24237,0.143,11.66(0.10),16.323(0.005),15.876(0.004),20.63(0.04),20.21(0.03),-1.74(0.19) 
J111444.27+002037.3,168.68451,0.34370,0.100,11.10(0.09),16.642(0.005),16.219(0.004),21.78(0.07),21.61(0.06),-2.11(0.21) 
J111501.32+015212.3,168.75551,1.87009,0.143,11.52(0.10),16.540(0.005),16.073(0.004),22.61(0.10),22.74(0.12),-2.53(0.22) 
J111517.02-010149.6,168.82096,-1.03045,0.105,11.05(0.11),17.180(0.007),16.733(0.006),23.27(0.15),24.41(0.25),-2.65(0.22) 
J111528.51-002747.9,168.86881,-0.46330,0.109,11.58(0.10),15.832(0.004),15.382(0.003),19.98(0.03),19.68(0.02),-1.70(0.19) 
J111547.67-010634.3,168.94866,-1.10955,0.140,11.38(0.11),16.989(0.006),16.548(0.005),23.49(0.15),23.94(0.19),-2.74(0.22) 
J111548.26+042959.8,168.95112,4.49995,0.135,11.45(0.11),16.653(0.005),16.154(0.004),21.82(0.07),21.57(0.06),-2.12(0.21) 
J111603.41+043328.1,169.01422,4.55784,0.108,11.30(0.13),16.457(0.005),15.978(0.004),21.37(0.06),21.24(0.06),-2.03(0.21) 
J111608.31+012413.3,169.03463,1.40370,0.144,11.14(0.13),17.553(0.008),17.158(0.007),23.49(0.16),23.74(0.18),-2.49(0.22) 
J111610.27+000058.0,169.04278,0.01611,0.147,11.04(0.12),17.527(0.008),17.116(0.007),22.03(0.08),21.69(0.06),-1.82(0.20) 
J111612.10+013015.3,169.05044,1.50426,0.144,11.39(0.12),16.829(0.006),16.374(0.005),21.82(0.06),21.76(0.06),-2.07(0.21) 
J111613.41+000124.8,169.05588,0.02358,0.146,11.20(0.11),17.208(0.007),16.776(0.006),23.29(0.15),23.15(0.13),-2.49(0.22) 
J111623.48+043300.9,169.09784,4.55026,0.109,11.42(0.12),16.224(0.004),15.716(0.003),21.21(0.05),20.76(0.04),-2.01(0.21) 
J111626.37-005721.0,169.10992,-0.95586,0.074,11.48(0.14),15.982(0.004),15.543(0.003),21.99(0.08),22.06(0.08),-2.49(0.22) 
J111702.03+032522.1,169.25846,3.42279,0.142,11.21(0.13),17.271(0.007),16.809(0.006),23.62(0.16),23.47(0.16),-2.60(0.22) 
J111712.45+032433.7,169.30189,3.40937,0.142,11.56(0.11),16.216(0.004),15.758(0.004),21.48(0.06),20.59(0.04),-2.01(0.21) 
J111714.25+032745.2,169.30937,3.46257,0.144,11.13(0.17),17.334(0.007),16.881(0.006),22.30(0.08),22.22(0.08),-2.06(0.21) 
J111717.18+032035.2,169.32156,3.34309,0.133,11.08(0.16),17.647(0.009),17.214(0.007),22.97(0.12),22.73(0.12),-2.17(0.21) 
J111718.84+040956.4,169.32854,4.16568,0.108,11.01(0.11),17.028(0.006),16.621(0.005),23.76(0.19),22.55(0.11),-2.50(0.22) 
J111719.51+032820.5,169.33131,3.47239,0.102,11.13(0.11),16.855(0.006),16.384(0.005),24.43(0.23),23.03(0.12),-2.81(0.22) 
J111722.86-000434.4,169.34526,-0.07623,0.103,11.39(0.13),16.286(0.005),15.854(0.004),22.44(0.09),22.56(0.09),-2.56(0.22) 
J111727.25-000646.3,169.36356,-0.11289,0.108,11.07(0.10),16.738(0.006),16.281(0.005),21.40(0.05),21.60(0.06),-1.98(0.21) 
J111741.16-002256.4,169.42153,-0.38235,0.126,11.03(0.14),17.155(0.007),16.740(0.006),21.86(0.07),21.58(0.06),-1.91(0.20) 
J111744.56+001728.8,169.43568,0.29135,0.103,11.06(0.12),16.635(0.005),16.223(0.004),21.73(0.07),22.25(0.09),-2.19(0.21) 
J111812.98-002015.6,169.55410,-0.33767,0.110,11.06(0.11),17.023(0.006),16.574(0.005),22.40(0.09),22.69(0.11),-2.28(0.21) 
J111820.41+000622.6,169.58507,0.10628,0.138,11.31(0.16),16.889(0.006),16.484(0.005),21.75(0.07),21.91(0.07),-2.05(0.21) 
J111845.89+030624.9,169.69121,3.10693,0.139,11.05(0.11),17.598(0.008),17.122(0.007),24.78(0.30),24.82(0.36),-2.96(0.22) 
J111927.73+030632.7,169.86555,3.10908,0.143,11.51(0.14),16.491(0.005),16.057(0.004),22.34(0.09),21.66(0.07),-2.29(0.21) 
J111943.48+011953.1,169.93118,1.33144,0.138,11.06(0.18),17.231(0.007),16.843(0.006),21.56(0.06),21.79(0.06),-1.84(0.20) 
J112001.02+021041.3,170.00427,2.17816,0.146,11.30(0.11),17.030(0.007),16.526(0.005),22.77(0.12),22.02(0.08),-2.25(0.21) 
J112014.58+025547.6,170.06077,2.92991,0.132,11.20(0.16),16.862(0.006),16.492(0.005),19.84(0.02),19.70(0.02),-1.26(0.14) 
J112016.49+024020.4,170.06871,2.67235,0.145,11.04(0.12),17.461(0.008),17.057(0.006),24.37(0.21),99.00(99.00),-3.06(0.22) 
J112018.08+004539.4,170.07537,0.76097,0.150,11.35(0.10),17.103(0.007),16.624(0.005),22.32(0.09),22.20(0.08),-2.16(0.21) 
J112030.45+031531.6,170.12689,3.25878,0.106,11.05(0.14),16.667(0.005),16.239(0.004),22.15(0.08),21.91(0.07),-2.23(0.21) 
J112038.35+043950.5,170.15982,4.66405,0.134,11.34(0.09),16.928(0.006),16.446(0.005),22.22(0.09),22.34(0.09),-2.22(0.21) 
J112040.84+025555.7,170.17021,2.93212,0.076,11.32(0.19),15.576(0.003),15.150(0.003),18.59(0.01),18.57(0.01),-1.30(0.15) 
J112042.03+011611.3,170.17516,1.26983,0.137,11.07(0.13),17.597(0.009),17.144(0.007),99.00(99.00),22.74(0.12),-2.54(0.22) 
J112058.99+043630.7,170.24581,4.60854,0.134,11.13(0.12),16.931(0.006),16.481(0.005),22.44(0.10),22.30(0.09),-2.26(0.21) 
J112109.44+014229.9,170.28935,1.70831,0.143,11.21(0.15),17.451(0.008),16.990(0.006),23.46(0.16),22.79(0.12),-2.36(0.21) 
J112111.54-001737.9,170.29816,-0.29387,0.098,11.34(0.17),15.668(0.003),15.274(0.003),20.06(0.03),19.53(0.02),-1.74(0.19) 
J112112.47+024525.1,170.30200,2.75701,0.146,11.40(0.11),16.995(0.006),16.540(0.005),23.27(0.14),22.55(0.10),-2.46(0.22) 
J112112.68+004715.9,170.30287,0.78780,0.111,11.05(0.14),16.603(0.005),16.242(0.004),21.82(0.07),21.94(0.08),-2.17(0.21) 
J112114.25+000356.4,170.30943,0.06567,0.102,11.25(0.09),16.289(0.005),15.852(0.004),21.84(0.07),21.51(0.06),-2.24(0.21) 
J112119.53-000004.4,170.33140,-0.00123,0.102,11.14(0.08),16.602(0.005),16.148(0.004),22.58(0.11),22.84(0.11),-2.51(0.22) 
